impact,id,description,help,helpUrl,tags,html,target,failureSummary
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"m-0 font-semibold leading-5 text-lg\">\n          South Dakota State University        </div>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .m-0.font-semibold.text-lg","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"mb-1 text-sm\">\n          <i>Appellatio iustum utinam. Facilisi feugiat iusto iustum plaga praemitto. Abbas huic ibidem pala plaga secundum sudo tego. Abigo eligo iriure modo vero ymo.</i>\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .text-sm","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/ai\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">ai</a></li>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(1)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/deep-learning\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">deep-learning</a></li>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(2)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/computer-vision\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">computer-vision</a></li>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(3)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/machine-learning\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">machine-learning</a></li>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(4)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/neural-networks\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">neural-networks</a></li>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(5)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li style=\"display: flex; align-items: center; font-size: 14px;\">+ 32 more</li>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(37)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"col-11 col-sm-6 col-md-4 mb-4 mx-auto border-4 border-solid border-dark-teal hover--border-orange w-full relative\">",".col-11.col-sm-6.col-md-4:nth-child(5)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"col-11 col-sm-6 col-md-4 mb-4 mx-auto border-4 border-solid border-dark-teal hover--border-orange w-full relative\">",".col-11.col-sm-6.col-md-4:nth-child(6)","Fix any of the following:\n  Some page content is not contained by landmarks"
